filename,pupil_x,pupil_y
gaze_px0p0_py0p0_512.webp,0.0,0.0
gaze_px0p0_py12p0_512.webp,0.0,12.0
gaze_px0p0_py15p0_512.webp,0.0,15.0
gaze_px0p0_py3p0_512.webp,0.0,3.0
gaze_px0p0_py6p0_512.webp,0.0,6.0
gaze_px0p0_py9p0_512.webp,0.0,9.0
gaze_px0p0_pym12p0_512.webp,0.0,-12.0
gaze_px0p0_pym15p0_512.webp,0.0,-15.0
gaze_px0p0_pym3p0_512.webp,0.0,-3.0
gaze_px0p0_pym6p0_512.webp,0.0,-6.0
gaze_px0p0_pym9p0_512.webp,0.0,-9.0
gaze_px12p0_py0p0_512.webp,12.0,0.0
gaze_px12p0_py12p0_512.webp,12.0,12.0
gaze_px12p0_py15p0_512.webp,12.0,15.0
gaze_px12p0_py3p0_512.webp,12.0,3.0
gaze_px12p0_py6p0_512.webp,12.0,6.0
gaze_px12p0_py9p0_512.webp,12.0,9.0
gaze_px12p0_pym12p0_512.webp,12.0,-12.0
gaze_px12p0_pym15p0_512.webp,12.0,-15.0
gaze_px12p0_pym3p0_512.webp,12.0,-3.0
gaze_px12p0_pym6p0_512.webp,12.0,-6.0
gaze_px12p0_pym9p0_512.webp,12.0,-9.0
gaze_px15p0_py0p0_512.webp,15.0,0.0
gaze_px15p0_py12p0_512.webp,15.0,12.0
gaze_px15p0_py15p0_512.webp,15.0,15.0
gaze_px15p0_py3p0_512.webp,15.0,3.0
gaze_px15p0_py6p0_512.webp,15.0,6.0
gaze_px15p0_py9p0_512.webp,15.0,9.0
gaze_px15p0_pym12p0_512.webp,15.0,-12.0
gaze_px15p0_pym15p0_512.webp,15.0,-15.0
gaze_px15p0_pym3p0_512.webp,15.0,-3.0
gaze_px15p0_pym6p0_512.webp,15.0,-6.0
gaze_px15p0_pym9p0_512.webp,15.0,-9.0
gaze_px3p0_py0p0_512.webp,3.0,0.0
gaze_px3p0_py12p0_512.webp,3.0,12.0
gaze_px3p0_py15p0_512.webp,3.0,15.0
gaze_px3p0_py3p0_512.webp,3.0,3.0
gaze_px3p0_py6p0_512.webp,3.0,6.0
gaze_px3p0_py9p0_512.webp,3.0,9.0
gaze_px3p0_pym12p0_512.webp,3.0,-12.0
gaze_px3p0_pym15p0_512.webp,3.0,-15.0
gaze_px3p0_pym3p0_512.webp,3.0,-3.0
gaze_px3p0_pym6p0_512.webp,3.0,-6.0
gaze_px3p0_pym9p0_512.webp,3.0,-9.0
gaze_px6p0_py0p0_512.webp,6.0,0.0
gaze_px6p0_py12p0_512.webp,6.0,12.0
gaze_px6p0_py15p0_512.webp,6.0,15.0
gaze_px6p0_py3p0_512.webp,6.0,3.0
gaze_px6p0_py6p0_512.webp,6.0,6.0
gaze_px6p0_py9p0_512.webp,6.0,9.0
gaze_px6p0_pym12p0_512.webp,6.0,-12.0
gaze_px6p0_pym15p0_512.webp,6.0,-15.0
gaze_px6p0_pym3p0_512.webp,6.0,-3.0
gaze_px6p0_pym6p0_512.webp,6.0,-6.0
gaze_px6p0_pym9p0_512.webp,6.0,-9.0
gaze_px9p0_py0p0_512.webp,9.0,0.0
gaze_px9p0_py12p0_512.webp,9.0,12.0
gaze_px9p0_py15p0_512.webp,9.0,15.0
gaze_px9p0_py3p0_512.webp,9.0,3.0
gaze_px9p0_py6p0_512.webp,9.0,6.0
gaze_px9p0_py9p0_512.webp,9.0,9.0
gaze_px9p0_pym12p0_512.webp,9.0,-12.0
gaze_px9p0_pym15p0_512.webp,9.0,-15.0
gaze_px9p0_pym3p0_512.webp,9.0,-3.0
gaze_px9p0_pym6p0_512.webp,9.0,-6.0
gaze_px9p0_pym9p0_512.webp,9.0,-9.0
gaze_pxm12p0_py0p0_512.webp,-12.0,0.0
gaze_pxm12p0_py12p0_512.webp,-12.0,12.0
gaze_pxm12p0_py15p0_512.webp,-12.0,15.0
gaze_pxm12p0_py3p0_512.webp,-12.0,3.0
gaze_pxm12p0_py6p0_512.webp,-12.0,6.0
gaze_pxm12p0_py9p0_512.webp,-12.0,9.0
gaze_pxm12p0_pym12p0_512.webp,-12.0,-12.0
gaze_pxm12p0_pym15p0_512.webp,-12.0,-15.0
gaze_pxm12p0_pym3p0_512.webp,-12.0,-3.0
gaze_pxm12p0_pym6p0_512.webp,-12.0,-6.0
gaze_pxm12p0_pym9p0_512.webp,-12.0,-9.0
gaze_pxm15p0_py0p0_512.webp,-15.0,0.0
gaze_pxm15p0_py12p0_512.webp,-15.0,12.0
gaze_pxm15p0_py15p0_512.webp,-15.0,15.0
gaze_pxm15p0_py3p0_512.webp,-15.0,3.0
gaze_pxm15p0_py6p0_512.webp,-15.0,6.0
gaze_pxm15p0_py9p0_512.webp,-15.0,9.0
